"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "XML", "TypeScript", "PostCSS", "TypeScript JSX", "MS SQL", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\emergencyClear.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 40
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\encryption.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 42, 22, 141
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\eventStateUtils.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 59, 39, 243
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\followerListUtils.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 42
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\geocoding.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 19, 22, 149
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\googleMapsParser.js", "JavaScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 53, 32, 226
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\location.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 65
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\locationNameCache.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 61, 36, 233
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\openMapsNavigation.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 114
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\pricingUtils.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 121
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\sessionManager.js", "JavaScript", 368, 0, 0, 0, 0, 0, 0, 0, 0, 82, 81, 531
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\signupDraftManager.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 48, 18, 193
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\tokenValidator.js", "JavaScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 27, 19, 112
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\utils\validateGoogleMapsUrl.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 22
"Total", "-", 107467, 19173, 44, 1558, 37, 855, 131, 6891, 1064, 6753, 9883, 153856
