"filename", "language", "JavaScript", "Markdown", "JSON", "XML", "MS SQL", "Log", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\EventsStackNavigator.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\HomeStackNavigator.js", "JavaScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 137
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\MemberStackNavigator.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\ProfileStackNavigator.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\SearchStackNavigator.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\SponsorBottomTabNavigator.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 130
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\VenueBottomTabNavigator.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 130
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\package-lock.json", "JSON", 0, 0, 9282, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9283
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\package.json", "JSON", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\RecoveryScreen.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 91
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\SavedPostsScreen.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 302
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\auth\AuthGate.js", "JavaScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 29, 316
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\auth\LandingScreen.js", "JavaScript", 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 367
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\auth\signin\LoginOtpScreen.js", "JavaScript", 642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 60, 745
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\auth\signin\LoginScreen.js", "JavaScript", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 279
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\ActivityInsightsScreen.js", "JavaScript", 521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 32, 559
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\DiscoverPeopleScreen.js", "JavaScript", 267, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 282
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\DiscoverScreen.js", "JavaScript", 742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30, 776
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\EditDiscoverProfileScreen.js", "JavaScript", 1090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 69, 1189
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\OpenerSelectionScreen.js", "JavaScript", 471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 496
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\discover\ProfileFeedScreen.js", "JavaScript", 573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 618
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\CategoryEventsScreen.js", "JavaScript", 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 340
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\CheckoutScreen.js", "JavaScript", 737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 56, 810
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\EventAttendeesScreen.js", "JavaScript", 503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 28, 550
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\EventDetailsScreen.js", "JavaScript", 1655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 87, 1799
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\QRScannerScreen.js", "JavaScript", 659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 30, 699
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\ShareTicketScreen.js", "JavaScript", 749, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31, 788
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\TicketSelectionScreen.js", "JavaScript", 517, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 31, 566
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\TicketViewScreen.js", "JavaScript", 632, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36, 673
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\events\YourEventsScreen.js", "JavaScript", 868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 50, 944
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\ChallengeSubmissionsScreen.js", "JavaScript", 1292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 48, 1360
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\ChallengeSubmitScreen.js", "JavaScript", 759, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 41, 816
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\PromptRepliesScreen.js", "JavaScript", 889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 65, 1020
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\PromptSubmissionsScreen.js", "JavaScript", 599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 30, 645
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\QnAQuestionsScreen.js", "JavaScript", 942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 44, 1001
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\ApplicantDetailScreen.js", "JavaScript", 548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 575
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\ApplicantsListScreen.js", "JavaScript", 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 430
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CommunityCreatePostScreen.js", "JavaScript", 1025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 64, 1119
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CommunityDashboardScreen.js", "JavaScript", 1021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 59, 1098
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CommunityEventsListScreen.js", "JavaScript", 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 625
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CommunityEventsScreen.js", "JavaScript", 435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27, 470
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CommunityRequestsScreen.js", "JavaScript", 472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23, 500
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\CreateOpportunityScreen.js", "JavaScript", 2256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 111, 2387
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\community\OpportunitiesListScreen.js", "JavaScript", 463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 483
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\member\ApplyToOpportunityScreen.js", "JavaScript", 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34, 701
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\member\OpportunityViewScreen.js", "JavaScript", 702, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 727
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\screens\home\sponsor\SponsorBrowseScreen.js", "JavaScript", 388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23, 415
