"filename", "language", "JavaScript", "JSON", "MS SQL", "Log", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\scripts\run_qualified_views_migration.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 12, 12, 67
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\utils\cardState.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 42, 26, 166
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\backend\utils\cloudinaryVideo.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 44, 10, 95
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\App.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 2, 3, 43
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\api\client.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 66, 18, 212
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\api\cloudinary.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 16, 10, 98
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\api\opportunities.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 69, 14, 154
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\CategorySelector.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ChipSelector.js", "JavaScript", -86, 0, 0, 0, 0, 0, 0, -1, -4, -91
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\CommentsModal.js", "JavaScript", -77, 0, 0, 0, 0, 0, 0, 3, -7, -81
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\CountdownTimer.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 6, 14, 59
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\CreatePostScreen.js", "JavaScript", 286, 0, 0, 0, 0, 0, 0, 10, 15, 311
